locx,locy,made
-3,34,0
6,10,1
-14,20,0
-131,235,0
36,33,0
26,259,0
4,8,1
4,16,1
1,46,1
41,60,0
16,59,0
6,71,1
-9,68,1
-5,13,1
6,13,1
-16,251,0
-42,52,0
-10,9,1
-4,17,0
-35,50,0
1,15,0
3,74,0
-58,173,0
-8,1,1
-5,21,1
5,6,1
-20,58,1
62,263,0
-2,11,1
-108,236,0
-4,17,1
-3,3,1
11,19,1
0,-6,1
-14,9,1
71,258,0
96,461,0
6,6,1
-130,242,0
2,-4,1
19,29,0
0,-6,0
-157,233,0
-3,62,0
8,16,1
2,16,1
-4,17,1
-3,27,0
1,6,1
2,15,0
-134,245,0
3,27,0
7,14,0
-6,0,0
0,-6,0
-2,178,1
-2,2,1
-6,15,1
11,85,0
-23,39,0
0,-6,0
-182,199,0
3,5,1
4,6,1
-67,76,0
-8,5,1
146,38,0
-36,92,0
-236,46,1
5,7,0
0,-6,0
-5,11,1
0,10,1
-11,9,1
3,34,0
38,73,0
-3,17,1
0,42,1
-6,13,1
-91,152,1
40,41,0
-5,14,1
7,46,0
-5,1,1
92,251,0
0,40,1
-5,70,0
6,6,1
-36,112,0
6,13,0
70,259,0
-116,253,0
9,179,0
4,2,1
2,15,1
4,12,1
3,25,0
-218,-1,0
55,47,0
-131,151,0
-2,25,1
-6,58,0
-5,8,1
4,4,1
2,26,1
-6,6,1
11,26,0
1,8,1
2,10,1
1,14,1
-8,20,1
11,136,0
-2,13,1
9,13,1
2,21,1
-3,63,1
11,10,0
111,158,1
119,127,0
-7,5,1
18,8,0
-2,11,1
-22,1,0
-35,197,0
6,-1,1
-6,-6,1
-11,5,1
-1,120,1
-6,-4,0
-14,148,1
-73,36,0
-4,9,1
23,32,0
5,4,1
-4,15,1
0,13,1
22,40,1
1,16,1
19,4,0
-201,151,0
-15,9,1
-127,241,0
5,15,1
-5,9,1
-87,79,1
-131,72,0
16,32,0
13,22,1
13,15,1
13,11,1
-41,274,1
14,188,1
0,133,0
0,-6,1
-22,5,0
71,36,0
-6,2,1
4,4,1
-7,-4,1
-6,8,1
-157,222,0
3,-5,1
6,-12,1
3,4,1
54,260,0
13,26,0
7,14,1
5,9,1
-8,194,0
16,22,1
-6,105,0
-6,129,0
10,21,1
-185,189,0
-3,31,0
0,-6,1
5,20,1
-5,47,1
5,48,0
-226,38,0
8,15,1
-2,42,0
-70,161,0
16,22,1
6,22,0
0,-6,0
6,17,1
-124,221,0
8,53,1
2,31,1
0,20,1
2,17,1
3,9,1
-35,111,0
-1,31,0
31,126,1
44,176,0
8,136,0
-19,22,0
-11,12,1
-1,8,1
-11,8,1
