locx,locy,dist,made
3,12,1,0
-61,264,27,0
-1,259,25,0
-120,232,26,1
3,20,2,1
2,13,1,0
0,17,1,1
26,65,7,0
-160,180,24,0
2,9,0,1
115,218,24,0
78,235,24,1
145,199,24,0
-9,31,3,0
103,231,25,1
-3,16,1,1
92,263,27,1
-1,18,1,0
-7,22,2,1
157,185,24,0
-12,272,27,0
116,237,26,0
-93,239,25,1
-9,37,3,1
123,232,26,0
4,10,1,0
0,20,2,0
-40,268,27,1
-9,14,1,0
1,26,2,1
30,274,27,0
169,201,26,1
164,218,27,1
0,11,1,1
-18,4,1,1
-6,16,1,1
-84,252,26,0
79,247,25,0
221,65,23,0
-16,13,2,0
4,274,27,0
-45,62,7,1
-70,274,28,1
-143,231,27,0
82,85,11,0
-18,5,1,1
178,179,25,1
-206,162,26,0
-15,1,1,1
-71,256,26,0
157,206,25,0
83,68,10,1
-11,0,1,0
0,9,0,0
166,189,25,1
-8,5,0,0
-13,-4,1,0
33,116,12,1
-79,236,24,1
-165,146,22,0
-20,15,2,1
155,218,26,1
-9,13,1,1
-145,200,24,1
-9,15,1,0
112,103,15,1
23,247,24,0
8,61,6,0
12,35,3,0
-6,10,1,0
-27,78,8,0
-14,59,6,0
-17,13,2,1
4,81,8,0
26,60,6,1
44,277,28,1
-20,26,3,0
-11,27,2,1
-76,110,13,1
29,80,8,0
-230,32,23,0
5,267,26,0
-9,13,1,1
-90,251,26,1
231,86,24,1
-137,228,26,0
-41,248,25,0
-97,242,26,0
-2,260,26,1
83,253,26,1
-58,246,25,1
-97,253,27,0
127,234,26,0
-16,138,13,0
7,32,3,0
-5,32,3,1
5,13,1,1
22,268,26,1
-135,229,26,1
198,184,27,0
237,25,23,1
224,148,26,0
8,6,1,1
-122,230,26,0
106,283,30,0
70,274,28,1
101,236,25,0
-2,-3,0,0
133,226,26,0
140,215,25,0
-164,215,27,1
-6,10,1,0
10,2,1,1
150,200,25,1
-5,13,1,1
-215,60,22,0
32,257,25,0
162,186,24,0
10,28,2,0
96,239,25,1
169,180,24,0
-2,9,0,0
206,148,25,1
-154,194,24,0
92,234,25,1
214,135,25,0
-27,-1,2,1
172,180,24,0
-113,248,27,0
3,248,24,0
23,17,2,0
166,198,25,0
-15,6,1,0
-232,13,23,0
-195,171,25,0
-51,24,5,1
144,215,25,0
-9,5,1,1
-18,5,1,0
-5,261,26,1
7,248,24,0
-234,32,23,0
71,34,7,1
180,170,24,0
-106,243,26,0
-9,2,0,0
-43,263,26,0
-33,262,26,0
-14,7,1,0
-19,-1,1,1
-25,-10,2,1
13,4,1,0
-174,186,25,0
-1,29,2,1
-5,57,5,0
127,233,26,0
-28,-3,2,0
-11,263,26,0
-138,241,27,0
-151,224,27,1
130,220,25,0
33,16,3,1
-89,252,26,1
-119,236,26,1
109,243,26,1
-2,292,29,1
68,311,31,0
-218,167,27,0
38,31,4,0
-136,237,27,1
-164,215,27,0
-109,258,28,1
-190,188,26,0
57,260,26,1
-220,127,25,0
230,17,23,0
101,246,26,0
168,189,25,0
-4,-1,0,1
-15,20,2,0
-200,140,24,0
-60,232,23,0
231,34,23,0
-5,5,0,1
-74,243,25,0
107,225,24,1
8,252,25,0
10,17,1,1
-19,7,2,1
156,195,24,1
-96,236,25,0
21,10,2,1
140,207,24,0
-2,270,27,0
32,105,10,0
102,106,14,0
-228,107,25,0
0,11,1,0
135,212,25,1
10,20,2,1
138,223,26,0
-111,238,26,0
-153,201,25,0
25,6,2,0
9,4,0,1
-127,222,25,0
-7,12,1,1
-36,278,28,1
173,315,35,0
-176,221,28,1
107,235,25,0
-10,24,2,1
-201,178,26,1
110,232,25,0
111,232,25,0
2,17,1,0
212,147,25,0
65,241,24,0
-17,21,2,1
-11,27,2,1
-2,20,2,1
14,29,3,1
-45,259,26,0
-16,174,17,0
134,218,25,0
-4,17,1,1
-26,260,26,1
1,21,2,1
60,261,26,1
130,242,27,1
-91,247,26,0
171,235,29,0
-233,101,25,1
0,8,0,1
-8,11,1,0
8,-3,0,1
-2,11,1,0
144,209,25,1
10,-4,1,1
-180,168,24,0
174,190,25,1
3,257,25,0
-3,-1,0,1
5,1,0,0
-9,79,7,0
-209,156,26,1
-80,250,26,0
-11,8,1,1
-6,9,1,0
-199,167,25,1
-4,10,1,1
33,262,26,0
120,245,27,0
-112,-12,11,0
7,11,1,1
-16,9,1,1
159,205,25,0
152,204,25,1
-11,19,2,1
-20,251,25,1
-120,215,24,0
-140,72,15,0
-7,35,3,0
-19,8,2,0
-14,33,3,0
3,90,9,0
-191,188,26,0
32,32,4,0
16,63,6,1
173,196,26,0
16,116,11,0
21,21,2,0
-28,37,4,1
-8,27,2,0
133,228,26,0
-7,247,24,1
-160,241,28,0
70,190,20,1
31,279,28,0
-6,263,26,0
0,101,10,0
34,105,11,0
14,16,2,0
119,251,27,0
-180,184,25,1
7,57,5,1
-211,150,25,0
3,8,0,1
-8,11,1,1
144,221,26,1
-24,260,26,1
-21,10,2,0
-3,6,0,1
-161,197,25,1
-135,221,25,0
-3,-1,0,0
-45,10,4,0
4,-8,0,0
-176,191,25,0
-6,-5,0,1
-29,59,6,1
-8,0,0,0
-148,215,26,1
-2,7,0,1
147,132,19,0
-25,246,24,0
171,188,25,0
-2,99,9,1
-6,-1,0,1
109,248,27,0
-14,15,2,1
-75,247,25,1
8,6,1,1
-15,13,1,0
2,17,1,0
159,231,28,0
50,105,11,1
0,11,1,1
-29,263,26,1
-6,20,2,0
-91,234,25,0
-5,3,0,1
0,-1,0,1
-50,120,13,1
-20,23,3,0
-16,8,1,1
-2,26,2,0
-11,11,1,1
139,220,26,0
140,223,26,1
-111,256,27,1
64,269,27,1
-177,259,31,0
-6,11,1,1
-164,227,28,0
97,76,12,0
151,210,25,1
-39,288,29,0
-19,36,4,0
-5,264,26,0
156,195,24,1
155,210,26,0
30,249,25,0
-2,43,4,1
-141,218,25,0
-190,167,25,1
141,207,25,1
129,211,24,0
84,241,25,1
-45,251,25,0
-111,222,24,0
-21,13,2,1
30,116,11,1
-33,29,4,0
96,237,25,0
43,258,26,1
-42,262,26,0
-24,52,5,1
-30,3,3,1
-64,21,6,0
232,40,23,0
-227,-7,22,0
41,260,26,0
-189,179,26,1
-93,231,24,0
-47,9,4,0
232,10,23,0
-9,3,0,1
-19,1,1,1
110,257,27,0
-15,8,1,1
-10,4,1,1
143,277,31,1
-159,256,30,0
11,290,29,1
-136,238,27,0
-13,25,2,0
169,193,25,1
125,224,25,0
18,13,2,1
-14,14,1,1
-97,245,26,0
-3,3,0,1
66,255,26,1
-223,138,26,1
45,64,7,0
-192,188,26,1
-233,30,23,0
-3,16,1,0
-7,248,24,0
226,6,22,1
-149,207,25,1
44,258,26,0
-132,226,26,1
-7,20,2,1
6,68,6,1
223,-15,22,1
-7,-9,1,0
9,20,2,0
-161,189,24,1
7,19,2,1
150,237,28,0
-227,56,23,0
0,15,1,0
